,Spanish,German,Japanese,Korean
_DissolveMaskGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DissolveUseVertexColors,Máscara para colores de vértices,VertexColor.g-Maske,頂点カラー.g マスク,버텍스 색상.g 마스크
_DissolveMaskInvert,Invertir,Umkehren,反転,반전
_ContinuousDissolve,Velocidad de disolución continua,Kontinuierliche Auflösungsgeschwindigkeit,連続ディゾルブ速度,연속 디졸브 속도
_EnableDissolveAudioLink,<size=13><b>AudioLink </b></size>,<size=13><b>Audiolink</b></size>,<size=13><b>オーディオリンク</b></size>,<size=13><b>오디오링크</b></size>
_AudioLinkDissolveAlphaBand,Banda alfa de disolución,Alpha-Band auflösen,アルファバンドをディゾルブ,디졸브 알파 밴드
_AudioLinkDissolveAlpha,Modificador alfa,Alpha-Mod auflösen,アルファモッドを解体,디졸브 알파 모드
_AudioLinkDissolveDetailBand,Banda de detalles de disolución,Detailband auflösen,ディゾルブ ディテール バンド,디졸브 디테일 밴드
_AudioLinkDissolveDetail,Modificador de detalles,Details auflösen Mod,ディゾルブディテール Mod,디졸브 디테일 모드
m_start_SphericalDissolve,Disolución esférica,Sphärisch,球状,구형
_SphericalDissolveCenter,Punto central,Mittelpunkt,中心点,중심점
_SphericalDissolveRadius,Radio,Radius,半径,반경
_SphericalDissolveInvert,Invertir,Umkehren,反転,반전
_SphericalDissolveClamp,Limitar disolución (Clamp),Klammer auflösen,クランプディゾルブ,디졸브 클램프
m_end_SphericalDissolve,Disolución esférica,Sphärisch,球状,구형
m_start_pointToPoint,Punto a punto,Punkt zu Punkt,ポイントからポイントへ,점 대 점
_DissolveP2PWorldLocal,Global/Local,Welt/Lokal,ワールド/ローカル,월드/로컬
_DissolveP2PEdgeLength,Longitud del borde,Kantenlänge,辺の長さ,가장자리 길이
_DissolveStartPoint,Punto inicial,Startpunkt,開始地点,시작점
_DissolveEndPoint,Punto final,Endpunkt,終点,끝점
_DissolveP2PClamp,Limitar disolución (Clamp),Klammer auflösen,クランプディゾルブ,디졸브 클램프
m_end_pointToPoint,Punto a punto,Punkt zu Punkt,ポイントからポイントへ,점 대 점
m_start_CenterOutDissolve,Disolución centrada,CenterOut,センターアウト,센터 아웃
_CenterOutDissolveMode,Modo,CenterOut-Modus,センターアウト モード,센터 아웃 모드
_CenterOutDissolveDirection,Dirección personalizada,Benutzerdefinierte Richtung,カスタム方向,사용자 정의 방향
_CenterOutDissolveInvert,Invertir,Umkehren,反転,반전
_CenterOutDissolveNormals,Usar normales de píxeles,Verwenden Sie Pixelnormalen,ピクセルノーマル(法線)を使用,픽셀 노멀 사용
_CenterOutDissolvePower,Intensidad,Leistung,力,파워
m_end_CenterOutDissolve,Disolución centrada,CenterOut,センターアウト,센터 아웃
m_start_dissolveHueShift,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
_DissolveHueShiftEnabled,Cambio de tono activado,Aufgelöst aktiviert,ディゾルブの有効化,디졸브 활성화
_DissolveHueShiftSpeed,Velocidad del cambio disuelto,Aufgelöste Geschwindigkeit,ディゾルブ速度,디졸브 속도
_DissolveHueShift,Cambio de tono disuelto,Aufgelöste Schicht,ディゾルブシフト,디졸브 시프트
_DissolveEdgeHueShiftEnabled,Cambio de tono del borde activado,Kante aktiviert,エッジの有効化,가장자리 활성화
_DissolveEdgeHueShiftSpeed,Velocidad del cambio del borde,Kantengeschwindigkeit,エッジスピード,가장자리 속도
_DissolveEdgeHueShift,Cambio de tono del borde,Kantenverschiebung,エッジシフト,가장자리 시프트
m_end_dissolveHueShift,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
m_start_UVTileDissolve,Disolución de teselas UV,UV-Fliese auflösen,UV タイル ディゾルブ,UV 타일 디졸브
_UVTileDissolveEnabled,Activado,Ermöglicht,有効,활성화됨
_UVTileDissolveUV,UV de teselas UV,UV Kachel UV,UVタイル,UV 타일 UV
_UVTileDissolveDiscardAtMax,Descartar teselas al máximo,Wirf Kacheln bei max,最大でタイルを破棄,최대에서 타일 버리기
m_start_UVTileDissolveRow3,Alfa de la fila 3,Zeile 3 Alpha,3行目 アルファ,3행 알파
_UVTileDissolveAlpha_Row3_0,Fila 3 columna 0,Zeile 3 Spalte 0,3行目 列 0,3행 0열
_UVTileDissolveAlpha_Row3_1,Fila 3 columna 1,Zeile 3 Spalte 1,3行目 列 1,3행 1열
_UVTileDissolveAlpha_Row3_2,Fila 3 columna 2,Zeile 3 Spalte 2,3行目 列 2,3행 2열
_UVTileDissolveAlpha_Row3_3,Fila 3 columna 3,Zeile 3 Spalte 3,3行目 列 3,3행 3열
m_end_UVTileDissolveRow3,Fila 3,Reihe 3,3行目,3행
m_start_UVTileDissolveRow2,Alfa de la fila 2,Zeile 2 Alpha,2行目 アルファ,2행 알파
_UVTileDissolveAlpha_Row2_0,Fila 2 columna 0,Zeile 2 Spalte 0,2行目 列 0,2행 0열
_UVTileDissolveAlpha_Row2_1,Fila 2 columna 1,Zeile 2 Spalte 1,2行目 列 1,2행 1열
_UVTileDissolveAlpha_Row2_2,Fila 2 columna 2,Zeile 2 Spalte 2,2行目 列 2,2행 2열
_UVTileDissolveAlpha_Row2_3,Fila 2 columna 3,Zeile 2 Spalte 3,2行目 列 3,2행 3열
m_end_UVTileDissolveRow2,Fila 2,Reihe 2,2行目,2행
m_start_UVTileDissolveRow1,Alfa de la fila 1,Zeile 1 Alpha,1行目 アルファ,1행 알파
_UVTileDissolveAlpha_Row1_0,Fila 1 Columna 0,Zeile 1 Spalte 0,1行目 列 0,1행 0열
_UVTileDissolveAlpha_Row1_1,Fila 1 columna 1,Zeile 1 Spalte 1,1行目 列 1,1행 1열
_UVTileDissolveAlpha_Row1_2,Fila 1 columna 2,Zeile 1 Spalte 2,1行目 列 2,1행 2열
_UVTileDissolveAlpha_Row1_3,Fila 1 columna 3,Zeile 1 Spalte 3,1行目 列 3,1행 3열
m_end_UVTileDissolveRow1,Fila 1,Reihe 1,1行目,1행
m_start_UVTileDissolveRow0,Alfa de la fila 0,Zeile 0 Alpha,0行目 アルファ,0행 알파
_UVTileDissolveAlpha_Row0_0,Fila 0 columna 0,Zeile 0 Spalte 0,0行目 列 0,0행 0열
_UVTileDissolveAlpha_Row0_1,Fila 0 columna 1,Zeile 0 Spalte 1,0行目 列 1,0행 1열
_UVTileDissolveAlpha_Row0_2,Fila 0 columna 2,Zeile 0 Spalte 2,0行目 列 2,0행 2열
_UVTileDissolveAlpha_Row0_3,Fila 0 columna 3,Zeile 0 Spalte 3,0行目 列 3,0행 3열
m_end_UVTileDissolveRow0,Fila 0,Reihe 0,0行目,0행
m_end_UVTileDissolve,Disolución de teselas UV,UV-Fliese auflösen,UV タイル ディゾルブ,UV 타일 디졸브
m_start_BonusSliders,Bloqueo de deslizadores de animación,Gesperrte Anim-Schieberegler,ロックされたアニメーション スライダー,잠긴 애니메이션 슬라이더
_DissolveAlpha0,Disolver alfa 0,Alpha 0 auflösen,ディゾルブアルファ0,디졸브 알파 0
_DissolveAlpha1,Disolver alfa 1,Lösen Sie Alpha 1 auf,ディゾルブアルファ1,디졸브 알파 1
_DissolveAlpha2,Disolver alfa 2,Lösen Sie Alpha 2 auf,ディゾルブアルファ2,디졸브 알파 2
_DissolveAlpha3,Disolver alfa 3,Lösen Sie Alpha 3 auf,ディゾルブアルファ3,디졸브 알파 3
_DissolveAlpha4,Disolver alfa 4,Lösen Sie Alpha 4 auf,ディゾルブアルファ4,디졸브 알파 4
_DissolveAlpha5,Disolver alfa 5,Lösen Sie Alpha 5 auf,ディゾルブアルファ5,디졸브 알파 5
_DissolveAlpha6,Disolver alfa 6,Lösen Sie Alpha 6 auf,ディゾルブアルファ6,디졸브 알파 6
_DissolveAlpha7,Disolver alfa 7,Lösen Sie Alpha 7 auf,ディゾルブアルファ7,디졸브 알파 7
_DissolveAlpha8,Disolver alfa 8,Alpha 8 auflösen,ディゾルブアルファ8,디졸브 알파 8
_DissolveAlpha9,Disolver alfa 9,Lösen Sie Alpha 9 auf,ディゾルブアルファ9,디졸브 알파 9
m_end_BonusSliders,Bloqueo de deslizadores de animación,Gesperrte Schieberegler,ロックインスライダー,잠긴 슬라이더
m_end_dissolve,Disolver,Sich auflösen,ディゾルブする,디졸브
m_start_flipBook,Folioscopio (Flipbook),Daumenkino,フリップブック,플립북
_EnableFlipbook,Activar folioscopio,Daumenkino aktivieren,フリップブックを有効にする,플립북 활성화
_FlipbookAlphaControlsFinalAlpha,Reemplazar alfa/color,Flipbook steuert Alpha,フリップブック コントロール アルファ,플립북 컨트롤 알파
_FlipbookIntensityControlsAlpha,Intensidad del reemplazo,Intensität steuert Alpha,明るさコントロール アルファ,강도 컨트롤 알파
_FlipbookColorReplaces,El folioscopio reemplaza el color,Farbe ersetzt Daumenkino,色をフリップブックと置き換える,색상이 플립북을 대체
_FlipbookTexArray,Matriz de texturas,Textur-Array,テクスチャアレー,텍스처 배열
_FlipbookTexArrayPan,Barrido de la matriz,Schwenken,パンニング,패닝
_FlipbookTexArrayUV,UV de la matriz,UV,UV,UV
_FlipbookMask,Máscara,Maske,マスク,마스크
_FlipbookMaskPan,Barrido,Schwenken,パンニング,패닝
_FlipbookMaskUV,UV,UV,UV,UV
_FlipbookMaskChannel,Canal,Kanal,チャンネル,채널
_FlipbookMaskGlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_FlipbookMaskGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_FlipbookColor,Color y alfa,Farbe & Alpha,色とアルファ,색상 & 알파
_FlipbookFPS,Cuadros por segundo (FPS),FPS,FPS,FPS
_FlipbookFrameOffset,Desplazamiento de los cuadros,Rahmen,フレーム,프레임
_FlipbookScaleOffset,Escala del desplazamiento,Maßstab | Versatz,スケール |オフセット,스케일 | 오프셋
_FlipbookSideOffset,Desplazamiento lateral,Seitenversatz,サイドオフセット,측면 오프셋
_FlipbookTiled,Repetición en mosaico,Gefliest,タイル表示,타일링
_FlipbookEmissionStrength,Intensidad de la emisión,Emissionsstärke,発光の強さ,방출 강도
_FlipbookRotation,Rotación,Drehung,回転,회전
_FlipbookRotationSpeed,Velocidad de rotación,Drehgeschwindigkeit,回転速度,회전 속도
_FlipbookReplace,Reemplazar,Ersetzen,置換,교체
_FlipbookMultiply,Multiplicar,Multiplizieren,乗算,곱하기
_FlipbookAdd,Agregar,Addieren,追加,추가
_FlipbookManualFrameControl,<size=13><b>Control de cuadro manual </b></size>,<size=13><b>Manuelle Rahmensteuerung</b></size>,<size=13><b>手動フレーム コントロール</b></size>,<size=13><b>수동 프레임 컨트롤</b></size>
_FlipbookCurrentFrame,Cuadro actual,Aktueller Rahmen,現在のフレーム,현재 프레임
_FlipbookStartAndEnd,<size=13><b>Cuadros inicial y final </b></size>,<size=13><b> Start- und Endframes</b></size>,<size=13><b>開始フレームと終了フレーム</b></size>,<size=13><b>시작 및 종료 프레임</b></size>
_FlipbookStartFrame,Cuadro inicial,Rahmen starten,開始フレーム,시작 프레임
_FlipbookEndFrame,Cuadro final,Rahmen beenden,終了フレーム,종료 프레임
_FlipbookCrossfadeEnabled,<size=13><b>Desvanecimiento </b></size>,<size=13><b>Überblenden</b></size>,<size=13><b>クロスフェード</b></size>,<size=13><b>크로스페이드</b></size>
_FlipbookCrossfadeRange,Rango de desvanecimiento,Fade-Bereich,フェード範囲,페이드 범위
_FlipbookHueShiftEnabled,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_FlipbookHueShiftSpeed,Velocidad del cambio,Schaltgeschwindigkeit,シフトスピード,시프트 속도
_FlipbookHueShift,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
m_start_FlipbookAudioLink,AudioLink ♫,Audiolink ♫,オーディオリンク♫,오디오링크 ♫
_AudioLinkFlipbookScaleBand,Banda de escala,Skalenband,スケールバンド,스케일 밴드
_AudioLinkFlipbookScale,Modificador de escala,Skalen-Mod,スケールモッド,스케일 모드
_AudioLinkFlipbookAlphaBand,Banda alfa,Alphaband,アルファバンド,알파 밴드
_AudioLinkFlipbookAlpha,Modificador alfa,Alpha-Mod,アルファモッド,알파 모드
_AudioLinkFlipbookEmissionBand,Banda de emisión,Emissionsband,発光バンド,방출 밴드
_AudioLinkFlipbookEmission,Modificador de emisión,Emissionsmod,発光モッド,방출 모드
_AudioLinkFlipbookFrameBand,Banda de cuadros,Rahmenband,フレームバンド,프레임 밴드
_AudioLinkFlipbookFrame,Control de cuadros,Frame-Steuerung,フレーム制御,프레임 컨트롤
_FlipbookChronotensityEnabled,Cronotensidad,Chronotensität,クロノテンシティ,크로노텐시티
_FlipbookChronotensityBand,Banda de cronotensidad,Chrono-Band,クロノバンド,크로노 밴드
_FlipbookChronoType,Tipo de cronotensidad,Chrono-Typ,クロノタイプ,크로노 유형
_FlipbookChronotensitySpeed,Velocidad de cronotensidad,Chrono-Geschwindigkeit,クロノスピード,크로노 속도
m_end_FlipbookAudioLink,AudioLink,Audiolink,オーディオリンク,오디오링크
m_end_flipBook,Folioscopio (Flipbook),Daumenkino,フリップブック,플립북
m_start_emissionOptions,Emisión 0,Emission 0,発光 0,방출 0
_EnableEmission,Activar emisión,Emission aktivieren,発光を有効にする,방출 활성화
_EmissionReplace0,Reemplazar el color base,Grundfarbe ersetzen,ベースカラーを置換,베이스 색상 교체
_EmissionColor,Color de emisión,Emissionsfarbe,発光の色,방출 색상
_EmissionMap,Mapa de emisión,Emissionskarte,発光マップ,방출 맵
_EmissionMapPan,Barrido,Schwenken,パンニング,패닝
_EmissionMapUV,UV,UV,UV,UV
_EmissionBaseColorAsMap,Color base como mapa,Grundfarbe als Karte,マップとしての基本色,베이스 색상을 맵으로
_EmissionMask,Máscara de emisión,Emissionsmaske,発光マスク,방출 마스크
_EmissionMaskPan,Barrido,Schwenken,パンニング,패닝
_EmissionMaskUV,UV,UV,UV,UV
_EmissionMaskChannel,Canal,Kanal,チャンネル,채널
_EmissionMaskInvert,Invertir,Umkehren,反転,반전
_EmissionMask0GlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_EmissionMask0GlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_EmissionStrength,Intensidad de la emisión,Emissionsstärke,発光の強さ,방출 강도
_EmissionHueShiftEnabled,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_EmissionHueShift,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
_EmissionHueShiftSpeed,Velocidad del cambio,Farbtonverschiebungsgeschwindigkeit,ぼかしシフト速度,색조 시프트 속도
_EmissionCenterOutEnabled,<size=13><b>Emisión centrada </b></size>,<size=13><b>Mitte nach außen</b></size>,<size=13><b>センターアウト</b></size>,<size=13><b>센터 아웃</b></size>
_EmissionCenterOutSpeed,Velocidad de flujo,Fließgeschwindigkeit,流速,흐름 속도
_EnableGITDEmission,<size=13><b>Emisión fosforescente (GITDE) </b></size>,<size=13><b>Lichtbasiert</b></size>,<size=13><b>ライトベース</b></size>,<size=13><b>라이트 기반</b></size>
_GITDEWorldOrMesh,Tipo de iluminación,Beleuchtungstyp,光源の種類,조명 유형
_GITDEMinEmissionMultiplier,Multiplicador de emisión mínima,Min. Emissionsmultiplikator,最小発光乗数,최소 방출 배율
_GITDEMaxEmissionMultiplier,Multiplicador de emisión máxima,Maximaler Emissionsmultiplikator,最大発光乗数,최대 방출 배율
_GITDEMinLight,Iluminación mínima,Min. Beleuchtung,最小光源量,최소 조명
_GITDEMaxLight,Iluminación máxima,Maximale Beleuchtung,最大光源量,최대 조명
_EmissionBlinkingEnabled,<size=13><b>Emisión parpadeante </b></size>,<size=13><b> Blinkt</b></size>,<size=13><b>点滅</b></size>,<size=13><b>깜박임</b></size>
_EmissiveBlink_Min,Parpadeo mínimo,Emittierendes Blinzeln Min,発光点滅最小,방출 깜박임 최소
_EmissiveBlink_Max,Parpadeo máximo,Ausstrahlendes Blinzeln max,発光点滅最大,방출 깜박임 최대
_EmissiveBlink_Velocity,Velocidad de parpadeo,Ausstrahlende Blinzelgeschwindigkeit,発光点滅速度,방출 깜박임 속도
_EmissionBlinkingOffset,Desplazamiento,Versatz,オフセット,오프셋
_ScrollingEmission,<size=13><b>Emisión deslizante </b></size>,<size=13><b>Scrollen</b></size>,<size=13><b>スクロール</b></size>,<size=13><b>스크롤링</b></size>
_EmissionScrollingUseCurve,Usar curva,Kurve verwenden,曲線を使用,곡선 사용
_EmissionScrollingCurve,Curva,Kurve,曲線,곡선
_EmissionScrollingVertexColor,Color de vértices (Vertex Color) como posición,VColor als Position,位置としての VColor,위치로서의 VColor
_EmissiveScroll_Direction,Dirección,Richtung,方向,방향
_EmissiveScroll_Width,Anchura,Breite,幅,너비
_EmissiveScroll_Velocity,Velocidad,Geschwindigkeit,速度,속도
_EmissiveScroll_Interval,Intervalo,Intervall,間隔,간격
_EmissionScrollingOffset,Desplazamiento,Versatz,オフセット,오프셋
_EmissionAL0Enabled,<size=13><b>AudioLink </b></size>,<size=13><b>Audiolink</b></size>,<size=13><b>オーディオリンク</b></size>,<size=13><b>오디오링크</b></size>
_EmissionAL0MultipliersBand,Banda multiplicadora de emisiones,Emissionsmultiplikatorband,発光倍率帯,방출 배율 밴드
_EmissionAL0Multipliers,Multiplicador de emisión,Emissionsmultiplikator,発光乗数,방출 배율
_EmissionAL0StrengthBand,Banda de intensidad de emisión,Emissionsstärke Band hinzufügen,発光強度追加バンド,방출 강도 추가 밴드
_EmissionAL0StrengthMod,Modificador de intensidad,Emissionsstärke Add,発光強度追加,방출 강도 추가
_AudioLinkEmission0CenterOutBand,Banda de centrado,Center-Out-Band,センターアウトバンド,센터 아웃 밴드
_AudioLinkEmission0CenterOut,Centrado,Zentrieren Sie heraus,センターアウト,센터 아웃
_AudioLinkEmission0CenterOutSize,Umbral de la intensidad,Intensitätsschwelle,強度閾値,강도 임계값
_AudioLinkEmission0CenterOutDuration,Duración,Dauer,間隔,지속 시간
m_start_emission1Options,Emisión 1,Emission 1,発光 1,방출 1
